,added_date,estimated_duration,start_date,end_date,real_duration,returns,software,dev,squad,client,status
35,2016-11-14,19,2017-02-02,2017-02-21,14,2,G,Maria Eduarda,Theta,Souza Ribeiro Ltda.,Concluído
36,2016-11-14,17,2017-01-03,2017-01-13,9,0,G,Valentina,Theta,Souza - ME,Concluído
37,2016-11-15,2,2017-01-05,2017-01-06,2,2,D,Maria Eduarda,Chi,da Cruz,Concluído
38,2016-11-15,7,2017-01-03,2017-01-12,8,0,C,Valentina,Kappa,Silveira Mendes S.A.,Concluído
39,2016-11-15,10,2017-01-09,2017-01-19,9,0,G,Ana Clara,Kappa,Azevedo,Concluído
40,2016-11-15,3,2017-01-25,2017-01-27,3,2,C,Emanuelly,Epsilon,Pinto,Concluído
41,2016-11-16,20,2017-01-11,2017-01-26,12,0,C,Agatha,Epsilon,Rocha Porto e Filhos,Concluído
42,2016-11-16,4,2017-02-03,2017-02-08,4,1,C,Agatha,Zeta,Almeida,Concluído
43,2016-11-17,3,2017-01-20,2017-01-23,2,3,F,Carolina,Kappa,Rezende,Concluído
44,2016-11-18,15,2017-01-06,2017-01-17,8,2,G,Mirella,Zeta,Jesus Costa e Filhos,Concluído
45,2016-11-18,13,2017-01-11,2017-01-27,13,1,D,Lara,Epsilon,Lima - ME,Concluído
46,2016-11-18,20,2017-02-14,2017-03-03,14,0,E,Emanuelly,Chi,Freitas,Concluído
47,2016-11-18,3,2017-01-13,2017-01-13,1,2,D,Mirella,Epsilon,Melo Cardoso Ltda.,Concluído
48,2016-11-18,16,2017-02-08,2017-02-22,11,0,G,Brenda,Kappa,Pereira Oliveira S.A.,Concluído
49,2016-11-18,14,2017-01-27,2017-02-16,15,1,C,Maria Eduarda,Kappa,Martins e Filhos,Concluído
50,2016-11-18,7,2017-01-26,2017-02-03,7,0,F,Helena,Epsilon,Vieira,Concluído
51,2016-11-18,7,2017-01-27,2017-01-31,3,0,C,Carolina,Epsilon,Monteiro,Concluído
52,2016-11-21,13,2017-02-14,2017-02-21,6,0,C,Ana Clara,Epsilon,Melo,Concluído
53,2016-11-21,7,2017-01-04,2017-01-13,8,0,D,Maria Eduarda,Kappa,Melo,Concluído
54,2016-11-21,18,2017-01-13,2017-01-31,13,1,D,Valentina,Theta,Aragão Fogaça S/A,Concluído
55,2016-11-22,11,2017-02-16,2017-02-23,6,1,A,Ana Clara,Kappa,Santos Rodrigues S.A.,Concluído
56,2016-11-22,6,2017-01-02,2017-01-06,5,0,G,Mirella,Kappa,Nogueira Lopes S/A,Concluído
57,2016-11-22,13,2017-01-13,2017-01-20,6,1,E,Ana Clara,Kappa,Martins,Concluído
58,2016-11-22,8,2017-01-23,2017-01-27,5,2,E,Agatha,Kappa,Vieira,Concluído
59,2016-11-22,7,2017-01-20,2017-01-27,6,3,B,Agatha,Kappa,Silveira Fernandes S.A.,Concluído
60,2016-11-22,3,2017-01-18,2017-01-20,3,1,F,Lara,Kappa,Pinto,Concluído
61,2016-11-23,15,2017-02-03,2017-02-22,14,2,G,Mirella,Kappa,Silveira S.A.,Concluído
62,2016-11-23,13,2017-02-09,2017-02-24,12,0,E,Brenda,Kappa,Azevedo S/A,Concluído
63,2016-11-24,15,2017-01-05,2017-01-20,12,0,F,Mirella,Epsilon,da Costa,Concluído
64,2016-11-24,2,2017-01-06,2017-01-06,1,1,A,Ana Clara,Epsilon,Rezende Ltda.,Concluído
65,2016-11-24,3,2017-01-17,2017-01-20,4,0,B,Lara,Epsilon,Nogueira,Concluído
66,2016-11-25,6,2017-02-20,2017-02-24,5,1,E,Lara,Theta,Alves Duarte Ltda.,Concluído
67,2016-11-25,14,2017-02-10,2017-02-24,11,3,F,Lara,Theta,Cavalcanti e Filhos,Concluído
68,2016-11-25,17,2017-02-16,2017-03-01,10,1,C,Ana Clara,Kappa,Mendes,Concluído
69,2016-11-25,11,2017-01-26,2017-02-03,7,0,G,Mirella,Kappa,Nogueira,Concluído
70,2016-11-25,17,2017-02-22,2017-03-07,10,0,A,Mirella,Epsilon,Vieira,Concluído
71,2016-11-25,1,2017-02-16,2017-02-16,1,0,D,Maria Eduarda,Epsilon,da Conceição,Concluído
72,2016-11-25,3,2017-01-26,2017-01-27,2,0,C,Ana Clara,Kappa,Ribeiro,Concluído
73,2016-11-25,17,2017-02-06,2017-02-20,11,0,F,Brenda,Epsilon,Barbosa Moura - EI,Concluído
74,2016-11-25,5,2017-01-30,2017-02-03,5,0,C,Ana Clara,Kappa,Azevedo,Concluído
75,2016-11-25,18,2017-02-02,2017-02-24,17,0,C,Carolina,Theta,das Neves - EI,Concluído
76,2016-11-28,8,2017-01-02,2017-01-10,7,3,C,Mirella,Kappa,Ferreira da Cunha S/A,Concluído
77,2016-11-29,15,2017-02-24,2017-03-06,7,1,E,Mirella,Theta,Pinto,Concluído
78,2016-11-29,9,2017-01-31,2017-02-10,9,0,G,Lara,Kappa,Alves Duarte Ltda.,Concluído
79,2016-11-29,3,2017-02-13,2017-02-16,4,1,F,Helena,Theta,Souza - ME,Concluído
80,2016-11-30,6,2017-02-17,2017-02-24,6,3,G,Ana Clara,Epsilon,Rocha Porto e Filhos,Concluído
81,2016-11-30,12,2017-02-03,2017-02-10,6,0,F,Lara,Epsilon,da Rocha Oliveira e Filhos,Concluído
82,2016-12-01,3,2017-02-10,2017-02-10,1,0,G,Helena,Theta,das Neves - EI,Concluído
83,2016-12-01,1,2017-02-17,2017-02-17,1,1,B,Emanuelly,Epsilon,Farias,Concluído
84,2016-12-02,13,2017-01-13,2017-01-27,11,0,B,Valentina,Kappa,Gomes,Concluído
85,2016-12-02,5,2017-02-24,2017-02-28,3,0,C,Maria Eduarda,Kappa,Costa,Concluído
86,2016-12-02,13,2017-03-02,2017-03-17,12,0,G,Mirella,Kappa,Gomes,Concluído
87,2016-12-02,10,2017-02-10,2017-02-17,6,0,C,Carolina,Epsilon,Moraes - EI,Concluído
88,2016-12-02,9,2017-01-13,2017-01-20,6,0,B,Ana Clara,Kappa,Rocha Porto e Filhos,Concluído
89,2016-12-02,14,2017-01-03,2017-01-13,9,0,E,Emanuelly,Kappa,Pereira,Concluído
90,2016-12-02,11,2017-02-24,2017-03-13,12,0,A,Emanuelly,Theta,Lima Nunes S.A.,Concluído
91,2016-12-02,13,2017-01-05,2017-01-20,12,0,G,Ana Clara,Theta,Ribeiro - ME,Concluído
92,2016-12-02,17,2017-01-12,2017-01-20,7,0,D,Mirella,Theta,Moraes S/A,Concluído
93,2016-12-05,2,2017-01-12,2017-01-13,2,1,D,Ana Clara,Kappa,Sales,Concluído
94,2016-12-05,3,2017-01-17,2017-01-20,4,1,D,Emanuelly,Kappa,Vieira,Concluído
95,2016-12-05,15,2017-01-18,2017-01-27,8,0,C,Brenda,Kappa,Alves Peixoto e Filhos,Concluído
96,2016-12-05,7,2017-01-25,2017-02-03,8,0,A,Agatha,Kappa,da Cunha,Concluído
97,2016-12-06,1,2017-01-20,2017-01-20,1,0,G,Valentina,Kappa,Ferreira,Concluído
98,2016-12-07,5,2017-02-01,2017-02-07,5,0,F,Mirella,Kappa,Castro - ME,Concluído
99,2016-12-07,17,2017-01-19,2017-02-03,12,0,C,Valentina,Kappa,Pinto da Cruz - EI,Concluído
100,2016-12-07,9,2017-02-21,2017-02-28,6,1,C,Agatha,Epsilon,Gonçalves Pinto - ME,Concluído
101,2016-12-07,19,2017-01-18,2017-02-08,16,0,G,Agatha,Epsilon,Lima - ME,Concluído
102,2016-12-07,8,2017-01-02,2017-01-12,9,0,A,Agatha,Theta,Ribeiro,Concluído
103,2016-12-08,9,2017-02-09,2017-02-20,8,0,D,Brenda,Kappa,Pinto,Concluído
104,2016-12-08,12,2017-02-01,2017-02-08,6,0,E,Helena,Theta,Dias,Concluído
105,2016-12-08,10,2017-02-27,2017-03-03,5,1,A,Emanuelly,Theta,da Cruz Farias - ME,Concluído
106,2016-12-08,18,2017-02-10,2017-03-03,16,0,D,Valentina,Kappa,da Conceição,Concluído
107,2016-12-09,15,2017-01-02,2017-01-18,13,2,C,Brenda,Kappa,Castro e Filhos,Concluído
108,2016-12-09,16,2017-01-17,2017-01-26,8,0,E,Mirella,Chi,Sales,Concluído
109,2016-12-09,4,2017-01-05,2017-01-06,2,1,F,Maria Eduarda,Kappa,Cunha S/A,Concluído
110,2016-12-09,20,2017-01-13,2017-02-03,16,2,E,Agatha,Kappa,Duarte Melo Ltda.,Concluído
111,2016-12-09,5,2017-02-15,2017-02-21,5,0,G,Brenda,Epsilon,Cavalcanti e Filhos,Concluído
112,2016-12-09,6,2017-03-03,2017-03-08,4,0,C,Ana Clara,Chi,Souza Ribeiro Ltda.,Concluído
113,2016-12-09,8,2017-02-24,2017-03-03,6,1,B,Agatha,Epsilon,Araújo,Concluído
114,2016-12-09,20,2017-02-21,2017-03-03,9,2,A,Valentina,Kappa,da Cunha,Concluído
115,2016-12-09,3,2017-01-04,2017-01-06,3,0,C,Lara,Zeta,das Neves - EI,Concluído
116,2016-12-09,8,2017-02-03,2017-02-09,5,1,G,Brenda,Kappa,Cardoso,Concluído
117,2016-12-13,3,2017-01-10,2017-01-13,4,1,G,Helena,Kappa,Pinto da Cruz - EI,Concluído
118,2016-12-13,3,2017-02-09,2017-02-10,2,0,C,Lara,Epsilon,Costa,Concluído
119,2016-12-13,6,2017-03-07,2017-03-10,4,0,A,Ana Clara,Kappa,Carvalho Oliveira - ME,Concluído
120,2016-12-13,8,2017-03-03,2017-03-13,7,0,C,Carolina,Kappa,da Luz,Concluído
121,2016-12-14,20,2017-03-09,2017-03-31,17,0,E,Emanuelly,Epsilon,Aragão - EI,Concluído
122,2016-12-14,13,2017-02-06,2017-02-17,10,0,B,Helena,Kappa,Silveira,Concluído
123,2016-12-14,10,2017-03-03,2017-03-17,11,2,C,Ana Clara,Kappa,Caldeira,Concluído
124,2016-12-14,7,2017-01-17,2017-01-20,4,0,G,Carolina,Epsilon,Mendes,Concluído
125,2016-12-14,6,2017-01-11,2017-01-18,6,0,B,Brenda,Epsilon,Santos Rodrigues S.A.,Concluído
126,2016-12-15,13,2017-02-15,2017-02-22,6,0,C,Ana Clara,Epsilon,Ribeiro,Concluído
127,2016-12-16,16,2016-12-30,2017-01-19,15,0,E,Carolina,Kappa,Castro S/A,Concluído
128,2016-12-16,13,2017-01-18,2017-01-27,8,1,F,Helena,Kappa,Souza Ribeiro Ltda.,Concluído
129,2016-12-16,12,2017-01-25,2017-02-03,8,0,C,Lara,Epsilon,da Cruz da Conceição Ltda.,Concluído
130,2016-12-16,11,2017-01-17,2017-01-26,8,0,E,Lara,Chi,da Cunha Ltda.,Concluído
131,2016-12-16,14,2017-03-03,2017-03-10,6,3,B,Agatha,Epsilon,Carvalho,Concluído
132,2016-12-16,16,2017-03-03,2017-03-20,12,0,F,Lara,Chi,Ferreira,Concluído
133,2016-12-16,16,2017-02-21,2017-03-03,9,3,F,Ana Clara,Kappa,Nogueira,Concluído
134,2016-12-16,11,2017-03-17,2017-03-30,10,0,D,Helena,Kappa,das Neves,Concluído
135,2016-12-16,18,2017-02-03,2017-02-14,8,0,E,Lara,Theta,da Rocha Oliveira e Filhos,Concluído
136,2016-12-16,5,2017-02-21,2017-02-23,3,3,G,Ana Clara,Epsilon,Sales,Concluído
137,2016-12-16,8,2017-01-09,2017-01-17,7,0,B,Carolina,Kappa,Cunha S/A,Concluído
138,2016-12-19,18,2017-02-03,2017-02-28,18,0,D,Mirella,Kappa,Ribeiro - ME,Concluído
139,2016-12-20,20,2017-03-03,2017-03-31,21,0,D,Mirella,Kappa,Barros,Concluído
140,2016-12-20,18,2017-02-27,2017-03-10,10,0,A,Lara,Epsilon,Araújo,Concluído
141,2016-12-20,11,2017-01-25,2017-02-06,9,0,A,Helena,Kappa,Ribeiro,Concluído
142,2016-12-20,9,2017-02-21,2017-03-02,8,0,A,Helena,Epsilon,Rocha Porto e Filhos,Concluído
143,2016-12-20,11,2017-01-27,2017-02-10,11,0,E,Emanuelly,Epsilon,Alves Peixoto e Filhos,Concluído
144,2016-12-21,15,2017-01-30,2017-02-15,13,0,A,Emanuelly,Epsilon,Oliveira,Concluído
145,2016-12-21,13,2017-03-16,2017-03-31,12,0,D,Mirella,Epsilon,Oliveira,Concluído
146,2016-12-22,12,2017-01-30,2017-02-10,10,1,E,Agatha,Kappa,Alves Peixoto e Filhos,Concluído
147,2016-12-22,4,2017-02-23,2017-02-27,3,0,E,Mirella,Theta,Duarte Teixeira - ME,Concluído
148,2016-12-22,20,2017-03-10,2017-04-05,19,0,D,Emanuelly,Kappa,Duarte S.A.,Concluído
149,2016-12-22,13,2017-01-27,2017-02-13,12,0,D,Maria Eduarda,Kappa,Carvalho Oliveira - ME,Concluído
150,2016-12-22,5,2017-01-26,2017-02-01,5,2,A,Mirella,Kappa,Lopes,Concluído
151,2016-12-22,10,2017-02-17,2017-03-02,10,0,E,Carolina,Chi,Santos S.A.,Concluído
152,2016-12-23,18,2017-01-25,2017-02-17,18,1,D,Maria Eduarda,Kappa,Peixoto,Concluído
153,2016-12-23,1,2017-03-17,2017-03-17,1,0,C,Lara,Kappa,Barros,Concluído
154,2016-12-23,4,2017-02-08,2017-02-10,3,1,C,Agatha,Epsilon,Ribeiro,Concluído
155,2016-12-23,13,2017-02-13,2017-02-20,6,0,C,Lara,Epsilon,Silva Vieira Ltda.,Concluído
156,2016-12-23,18,2017-01-11,2017-02-01,16,0,A,Brenda,Epsilon,Barbosa,Concluído
157,2016-12-23,10,2017-02-21,2017-02-27,5,0,C,Helena,Theta,da Cunha,Concluído
158,2016-12-23,5,2017-02-10,2017-02-15,4,1,G,Brenda,Zeta,Lopes Moura S/A,Concluído
159,2016-12-23,6,2017-01-09,2017-01-13,5,0,F,Maria Eduarda,Epsilon,Martins,Concluído
160,2016-12-23,9,2017-01-11,2017-01-20,8,0,G,Agatha,Theta,Moraes S/A,Concluído
161,2016-12-23,11,2017-02-08,2017-02-14,5,0,G,Mirella,Epsilon,Nogueira,Concluído
162,2016-12-23,6,2017-01-06,2017-01-16,7,0,B,Lara,Kappa,Costa S/A,Concluído
163,2016-12-23,11,2017-01-06,2017-01-13,6,3,A,Helena,Theta,Farias,Concluído
164,2016-12-23,19,2017-03-08,2017-03-23,12,3,G,Emanuelly,Kappa,Peixoto,Concluído
165,2016-12-23,17,2017-01-06,2017-01-19,10,2,G,Mirella,Epsilon,Barbosa e Filhos,Concluído
166,2016-12-23,10,2017-03-17,2017-03-27,7,2,B,Maria Eduarda,Kappa,Peixoto,Concluído
167,2016-12-23,2,2017-01-04,2017-01-05,2,0,C,Lara,Theta,Gomes,Concluído
168,2016-12-23,11,2017-01-27,2017-02-07,8,1,C,Brenda,Kappa,Novaes,Concluído
169,2016-12-26,9,2017-01-05,2017-01-16,8,1,B,Maria Eduarda,Theta,Vieira,Concluído
170,2016-12-26,2,2017-02-24,2017-02-24,1,0,C,Agatha,Epsilon,Alves Peixoto e Filhos,Concluído
171,2016-12-26,20,2017-02-14,2017-03-03,14,0,D,Ana Clara,Kappa,da Cruz da Conceição Ltda.,Concluído
172,2016-12-26,15,2017-01-17,2017-01-27,9,1,A,Brenda,Zeta,Viana da Rocha S/A,Concluído
173,2016-12-27,4,2017-01-04,2017-01-06,3,0,B,Brenda,Epsilon,Caldeira,Concluído
174,2016-12-27,9,2017-02-08,2017-02-14,5,0,G,Ana Clara,Kappa,Pereira Aragão - ME,Concluído
175,2016-12-27,5,2017-03-08,2017-03-10,3,2,D,Mirella,Epsilon,Peixoto,Concluído
176,2016-12-27,10,2017-01-13,2017-01-19,5,2,G,Ana Clara,Kappa,Melo,Concluído
177,2016-12-27,7,2017-03-23,2017-03-28,4,0,B,Agatha,Epsilon,Carvalho,Concluído
178,2016-12-28,10,2017-03-17,2017-03-24,6,2,E,Ana Clara,Theta,Cardoso,Concluído
179,2016-12-28,8,2017-02-10,2017-02-14,3,0,D,Valentina,Kappa,Cavalcanti,Concluído
180,2016-12-28,8,2017-02-03,2017-02-08,4,1,E,Ana Clara,Epsilon,da Rosa,Concluído
181,2016-12-28,8,2017-02-13,2017-02-22,8,0,G,Agatha,Kappa,Moraes S/A,Concluído
182,2016-12-28,17,2017-03-03,2017-03-24,16,0,F,Mirella,Kappa,Cardoso da Mota S/A,Concluído
183,2016-12-28,13,2017-01-16,2017-01-31,12,1,D,Emanuelly,Kappa,das Neves - ME,Concluído
184,2016-12-28,15,2017-03-13,2017-03-27,11,2,F,Brenda,Theta,Nogueira Lopes S/A,Concluído
185,2016-12-28,11,2017-03-03,2017-03-16,10,0,A,Maria Eduarda,Kappa,da Cunha,Concluído
186,2016-12-28,18,2017-03-27,2017-04-11,12,2,C,Valentina,Epsilon,Ribeiro,Concluído
187,2016-12-28,20,2017-03-06,2017-03-28,17,1,F,Agatha,Zeta,Ribeiro,Concluído
188,2016-12-29,9,2017-03-15,2017-03-20,4,0,C,Helena,Kappa,Azevedo Caldeira - ME,Concluído
189,2016-12-29,3,2017-02-17,2017-02-20,2,0,G,Lara,Kappa,da Rocha,Concluído
190,2016-12-29,9,2017-02-27,2017-03-03,5,0,A,Maria Eduarda,Kappa,Fogaça Pinto e Filhos,Concluído
191,2016-12-30,4,2017-03-17,2017-03-22,4,0,A,Maria Eduarda,Epsilon,Barbosa - ME,Concluído
192,2016-12-30,7,2017-01-16,2017-01-24,7,2,D,Agatha,Theta,Campos e Filhos,Concluído
193,2016-12-30,5,2017-02-03,2017-02-06,2,0,E,Mirella,Kappa,Almeida da Conceição - EI,Concluído
194,2016-12-30,5,2017-01-10,2017-01-16,5,1,F,Emanuelly,Epsilon,Silva Vieira Ltda.,Concluído
195,2016-12-30,6,2017-03-17,2017-03-23,5,0,E,Agatha,Epsilon,Nascimento,Concluído
196,2016-12-30,6,2017-03-06,2017-03-13,6,0,G,Helena,Kappa,Nascimento,Concluído
197,2016-12-30,19,2017-02-17,2017-03-13,17,0,A,Ana Clara,Epsilon,Rocha Jesus S/A,Concluído
198,2016-12-30,10,2017-01-06,2017-01-13,6,3,G,Emanuelly,Kappa,Cunha,Concluído
199,2016-12-30,18,2017-01-20,2017-02-14,18,1,B,Lara,Epsilon,Ferreira,Concluído
200,2016-12-30,2,2017-01-20,2017-01-20,1,1,B,Brenda,Kappa,Rezende,Concluído
201,2017-01-02,2,2017-02-16,2017-02-17,2,0,G,Lara,Kappa,da Cunha,Concluído
202,2017-01-02,14,2017-01-12,2017-01-25,10,0,C,Emanuelly,Kappa,Cavalcanti,Concluído
203,2017-01-02,14,2017-02-02,2017-02-10,7,1,A,Mirella,Kappa,Moreira - EI,Concluído
204,2017-01-02,9,2017-03-10,2017-03-17,6,1,D,Helena,Kappa,Duarte Teixeira - ME,Concluído
205,2017-01-02,15,2017-01-10,2017-01-24,11,0,A,Valentina,Zeta,Vieira,Concluído
206,2017-01-02,15,2017-02-08,2017-02-28,15,2,D,Brenda,Epsilon,Lopes Moura S/A,Concluído
207,2017-01-02,13,2017-01-04,2017-01-11,6,0,B,Ana Clara,Epsilon,Teixeira S/A,Concluído
208,2017-01-03,18,2017-03-24,2017-04-05,9,0,B,Brenda,Kappa,da Rosa,Concluído
209,2017-01-04,16,2017-01-17,2017-01-27,9,0,E,Valentina,Kappa,Novaes,Concluído
210,2017-01-04,12,2017-01-06,2017-01-12,5,0,C,Ana Clara,Epsilon,Dias,Concluído
211,2017-01-04,13,2017-01-20,2017-02-03,11,1,G,Agatha,Kappa,Aragão,Concluído
212,2017-01-04,6,2017-03-01,2017-03-07,5,2,B,Emanuelly,Chi,Cunha S/A,Concluído
213,2017-01-05,12,2017-02-21,2017-03-02,8,1,F,Lara,Kappa,Ferreira da Cunha S/A,Concluído
214,2017-01-05,8,2017-03-24,2017-04-04,8,3,E,Mirella,Epsilon,Barbosa - EI,Concluído
215,2017-01-05,14,2017-02-24,2017-03-16,15,0,C,Lara,Epsilon,Araújo Ltda.,Concluído
216,2017-01-05,12,2017-02-24,2017-03-07,8,1,C,Carolina,Theta,Carvalho Oliveira - ME,Concluído
217,2017-01-05,12,2017-02-06,2017-02-17,10,0,G,Maria Eduarda,Epsilon,Rodrigues,Concluído
218,2017-01-05,8,2017-02-24,2017-03-03,6,0,C,Ana Clara,Kappa,Azevedo,Concluído
219,2017-01-05,15,2017-03-10,2017-03-31,16,1,F,Agatha,Kappa,Ribeiro,Concluído
220,2017-01-06,7,2017-04-07,2017-04-11,3,0,C,Maria Eduarda,Kappa,Rodrigues,Concluído
221,2017-01-06,9,2017-02-21,2017-03-01,7,0,C,Lara,Epsilon,Vieira,Concluído
222,2017-01-06,7,2017-03-13,2017-03-16,4,0,C,Maria Eduarda,Kappa,Aragão,Concluído
223,2017-01-06,7,2017-01-20,2017-01-25,4,0,G,Helena,Theta,Monteiro Ltda.,Concluído
224,2017-01-06,2,2017-01-20,2017-01-20,1,0,D,Emanuelly,Theta,Farias,Concluído
225,2017-01-06,8,2017-03-10,2017-03-17,6,0,D,Helena,Kappa,Ramos,Concluído
226,2017-01-06,12,2017-03-17,2017-04-03,12,0,E,Agatha,Epsilon,Costa,Concluído
227,2017-01-06,20,2017-01-20,2017-02-09,15,0,C,Mirella,Theta,Ramos,Concluído
228,2017-01-06,3,2017-03-06,2017-03-09,4,0,A,Brenda,Epsilon,Martins,Concluído
229,2017-01-06,7,2017-03-22,2017-03-24,3,0,D,Brenda,Kappa,Silva e Filhos,Concluído
230,2017-01-09,13,2017-01-12,2017-01-27,12,1,D,Valentina,Theta,Barros,Concluído
231,2017-01-09,9,2017-04-07,2017-04-14,6,2,E,Mirella,Epsilon,Oliveira Gomes S/A,Concluído
232,2017-01-10,20,2017-02-23,2017-03-09,11,0,D,Brenda,Kappa,Pinto,Concluído
233,2017-01-10,9,2017-03-29,2017-04-10,9,0,F,Emanuelly,Epsilon,Silveira Mendes S.A.,Concluído
234,2017-01-10,10,2017-01-26,2017-02-03,7,3,D,Lara,Kappa,da Cruz,Concluído
235,2017-01-10,8,2017-02-10,2017-02-20,7,0,E,Maria Eduarda,Kappa,da Cruz Farias - ME,Concluído
236,2017-01-10,5,2017-02-07,2017-02-10,4,0,F,Valentina,Kappa,da Cruz da Conceição Ltda.,Concluído
237,2017-01-10,20,2017-01-20,2017-02-17,21,0,G,Carolina,Kappa,da Cruz,Concluído
238,2017-01-11,9,2017-03-09,2017-03-14,4,2,B,Agatha,Theta,Ramos Jesus S.A.,Concluído
239,2017-01-12,15,2017-02-09,2017-02-24,12,0,G,Helena,Theta,Ferreira,Concluído
240,2017-01-12,15,2017-01-17,2017-02-03,14,1,B,Helena,Kappa,das Neves,Concluído
241,2017-01-13,1,2017-02-10,2017-02-10,1,0,C,Emanuelly,Kappa,Martins e Filhos,Concluído
242,2017-01-13,4,2017-04-07,2017-04-13,5,1,C,Ana Clara,Epsilon,Martins,Concluído
243,2017-01-13,1,2017-01-31,2017-01-31,1,0,D,Agatha,Theta,Jesus Costa e Filhos,Concluído
244,2017-01-13,7,2017-03-07,2017-03-16,8,0,E,Brenda,Kappa,Silveira,Concluído
245,2017-01-13,6,2017-02-03,2017-02-10,6,2,D,Helena,Theta,Costa S/A,Concluído
246,2017-01-13,11,2017-01-18,2017-01-27,8,3,C,Maria Eduarda,Zeta,Oliveira,Concluído
247,2017-01-13,1,2017-03-15,2017-03-15,1,1,E,Ana Clara,Kappa,Costa,Concluído
248,2017-01-13,4,2017-04-11,2017-04-14,4,1,G,Carolina,Epsilon,Vieira,Concluído
249,2017-01-13,11,2017-01-19,2017-02-01,10,0,C,Mirella,Kappa,Cavalcanti,Concluído
250,2017-01-13,17,2017-02-20,2017-03-14,17,2,A,Valentina,Epsilon,Cardoso,Concluído
251,2017-01-13,12,2017-02-20,2017-03-06,11,0,C,Valentina,Zeta,Pinto,Concluído
252,2017-01-13,19,2017-04-04,2017-05-01,20,2,D,Ana Clara,Epsilon,Vieira,Concluído
253,2017-01-13,11,2017-03-02,2017-03-09,6,0,F,Lara,Epsilon,Azevedo,Concluído
